	time	error
902	-0.5	5e-10
903	-0.5	5e-10
904	-0.5	5e-10
905	-0.5	5e-10
906	-0.5	5e-10
907	-0.5	5e-10
908	-0.5	5e-10
909	-0.5	5e-10
910	-0.5	5e-10
911	-0.5	5e-10
912	-0.5	5e-10
913	-0.5	5e-10
914	-0.5	5e-10
915	-0.5	5e-10
916	-0.5	5e-10
917	-0.5	5e-10
918	-0.5	5e-10
919	-0.5	5e-10
920	-0.5	5e-10
921	-0.5	5e-10
922	-0.5	5e-10
923	-0.5	5e-10
924	-0.5	5e-10
925	-0.5	5e-10
926	-0.5	5e-10
927	-0.5	5e-10
928	-0.5	5e-10
929	-0.5	5e-10
930	-0.5	5e-10
931	-0.5	5e-10
932	-0.5	5e-10
933	-0.5	5e-10
934	-0.5	5e-10
935	-0.5	5e-10
936	-0.5	5e-10
937	-0.5	5e-10
938	-0.5	5e-10
939	-0.5	5e-10
940	-0.5	5e-10
941	-0.5	5e-10
942	-0.5	5e-10
943	-0.5	5e-10
944	-0.5	5e-10
945	-0.5	5e-10
946	-0.5	5e-10
947	-0.5	5e-10
948	-0.5	5e-10
949	-0.5	5e-10
950	-0.5	5e-10
951	-0.5	5e-10
952	-0.5	5e-10
953	-0.5	5e-10
954	-0.5	5e-10
955	-0.5	5e-10
956	-0.5	5e-10
957	-0.5	5e-10
958	-0.5	5e-10
959	-0.5	5e-10
960	-0.5	5e-10
961	-0.5	5e-10
962	-0.5	5e-10
963	-0.5	5e-10
964	-0.5	5e-10
965	-0.5	5e-10
966	-0.5	5e-10
967	-0.5	5e-10
968	-0.5	5e-10
969	-0.5	5e-10
970	-0.5	5e-10
971	-0.5	5e-10
972	-0.5	5e-10
973	-0.5	5e-10
974	-0.5	5e-10
975	-0.5	5e-10
976	-0.5	5e-10
977	-0.5	5e-10
978	-0.5	5e-10
979	-0.5	5e-10
980	-0.5	5e-10
981	-0.5	5e-10
982	-0.5	5e-10
983	-0.5	5e-10
984	-0.5	5e-10
985	-0.5	5e-10
986	-0.5	5e-10
987	-0.5	5e-10
988	-0.5	5e-10
989	-0.5	5e-10
990	-0.5	5e-10
991	-0.5	5e-10
992	-0.5	5e-10
993	-0.5	5e-10
994	-0.5	5e-10
995	-0.5	5e-10
996	-0.5	5e-10
997	-0.5	5e-10
998	-0.5	5e-10
999	-0.5	5e-10
1000	-0.5	5e-10
1001	-0.5	5e-10
1002	-0.5	5e-10
1003	-0.5	5e-10
1004	-0.5	5e-10
1005	-0.5	5e-10
1006	-0.5	5e-10
1007	-0.5	5e-10
1008	-0.5	5e-10
1009	-0.5	5e-10
1010	-0.5	5e-10
1011	-0.5	5e-10
1012	-0.5	5e-10
1013	-0.5	5e-10
1014	-0.5	5e-10
1015	-0.5	5e-10
1016	-0.5	5e-10
1017	-0.5	5e-10
1018	-0.5	5e-10
1019	-0.5	5e-10
1020	-0.5	5e-10
1021	-0.5	5e-10
1022	-0.5	5e-10
1023	-0.5	5e-10
1024	-0.5	5e-10
1025	-0.5	5e-10
1026	-0.5	5e-10
1027	-0.5	5e-10
1028	-0.5	5e-10
1029	-0.5	5e-10
1030	-0.5	5e-10
1031	-0.5	5e-10
1032	-0.5	5e-10
1033	-0.5	5e-10
1034	-0.5	5e-10
1035	-0.5	5e-10
1036	-0.5	5e-10
1037	-0.5	5e-10
1038	-0.5	5e-10
1039	-0.5	5e-10
1040	-0.5	5e-10
1041	-0.5	5e-10
1042	-0.5	5e-10
1043	-0.5	5e-10
1044	-0.5	5e-10
1045	-0.5	5e-10
1046	-0.5	5e-10
1047	-0.5	5e-10
1048	-0.5	5e-10
1049	-0.5	5e-10
1050	-0.5	5e-10
1051	-0.5	5e-10
1052	-0.5	5e-10
1053	-0.5	5e-10
1054	-0.5	5e-10
1055	-0.5	5e-10
1056	-0.5	5e-10
1057	-0.5	5e-10
1058	-0.5	5e-10
1059	-0.5	5e-10
1060	-0.5	5e-10
1061	-0.5	5e-10
1062	-0.5	5e-10
1063	-0.5	5e-10
1064	-0.5	5e-10
1065	-0.5	5e-10
1066	-0.5	5e-10
1067	-0.5	5e-10
1068	-0.5	5e-10
